Rank|ChatMessage
Platinum|play team good clean
Gold|mid game report are stop
Bronze|you ez game play bro
Diamond|you diff are
Platinum|my bot team report
Diamond|bro are team noob
Silver|report noob you play the
Bronze|you my diff quit stop bro useless
Gold|team play wp are
Silver|are play good game bro
Silver|suck you play game uninstall
Bronze|team nice are play
Gold|the mid team good
Gold|you wp are
Silver|are stop clutch play
Diamond|the ez afk quit you
Gold|my report suck mid the
Gold|thrower team afk ez bro
Gold|play clutch my game you nice wp
Gold|are mid gg clutch glhf my game
Bronze|bot are mid stop garbo
Platinum|are game noob the garbage
Gold|you bro mb stop the
Bronze|gg team mid game mb
Gold|are garbage you game diff play suck
Silver|report team trash game play stop
Gold|garbage stop ez afk mid
Silver|ez noob are play
Diamond|garbo game you mid ez my
Silver|bot play trash my stop game
Grandmaster|suck are my ez garbage mid
Bronze|play garbage the uninstall my bot you
Bronze|useless garbo bro team
Platinum|garbage thrower stop you play game
Gold|clutch you mb nice mid
Gold|you stop mid bro good
Gold|thrower useless the bot my are you
Diamond|stop team bot uninstall
Bronze|the bro mid save game good
Bronze|mid play you clean my
Grandmaster|noob are thrower team
Platinum|mid team you mb the
Silver|report diff bro team garbage game
Silver|mb nice you clutch my
Gold|stop gg glhf the team mid
Grandmaster|the you suck
Gold|glhf bro are team
Platinum|mid team bro afk are
Gold|diff game bro
Platinum|game diff report my stop play trash
Grandmaster|you the ez
Grandmaster|you suck mid afk are the
Gold|noob quit thrower the game
Gold|the game clutch save clean
Platinum|diff my ez quit the
Silver|uninstall useless mid you noob the
Gold|play bro clutch gg
Gold|the uninstall are team play garbage report
Bronze|bro noob report thrower play
Platinum|wp bro stop clutch clean
Diamond|are the noob
Gold|you are clean nice bro
Silver|game afk suck my quit
Diamond|stop trash game mid bro
Gold|game gg save are good
Platinum|stop wp are save
Bronze|mid my stop play noob
Bronze|the are bro you uninstall
Gold|you ez quit garbo play
Platinum|my stop wp
Gold|garbo thrower uninstall play stop
Platinum|team are stop clutch my
Bronze|the you good team
Gold|you afk game bro mid quit thrower
Gold|bro thrower diff stop
Gold|game my clean save
Platinum|you mb team save clean
Platinum|save are gg game team
Platinum|are stop play mb team
Gold|mid bro game are clean
Platinum|mid nice are
Silver|mid clean stop
Silver|the clean save bro wp
Bronze|stop game trash
Gold|you thrower quit my garbage
Platinum|mid stop clutch save game play
Gold|team are game glhf
Gold|mid good bro team play
Silver|are trash bot bro mid my
Silver|report garbage you quit the
Silver|bro game wp
Silver|are quit bro
Gold|uninstall suck are you mid stop
Diamond|suck you mid report
Grandmaster|are play ez you the trash
Bronze|afk stop bro bot are game
Diamond|you my garbage
Diamond|are my bro game suck bot quit
Bronze|report team play are bro ez
Silver|bro mid wp
Grandmaster|my garbo are team the
Silver|play are stop suck useless my
Gold|team are you play suck garbo
Gold|play my trash quit
Platinum|garbage the game thrower useless bro are
Platinum|stop thrower noob game mid garbage
Silver|stop uninstall play bro noob
Silver|mid team useless
Gold|diff you the bot
Silver|suck my useless team bot the
Silver|stop team thrower my bro
Bronze|the trash bro my you
Gold|suck trash are game the garbage
Gold|you are garbo my the
Silver|team afk garbage garbo game
Platinum|thrower mid my are
Gold|my uninstall the game
Diamond|bro play my are useless
Silver|nice are clutch mb the
Silver|useless are mid uninstall
Gold|garbage thrower you play game
Gold|stop nice are my the
Platinum|are mid the clean stop
Silver|you save stop gg clutch
Silver|are game bro play mb
Platinum|mid are report suck the play
Gold|you are mid report stop
Grandmaster|team bro are thrower play
Bronze|nice my are team glhf gg
Diamond|bro suck mid trash report
Diamond|garbo are team stop quit garbage
Diamond|play report useless bot the
Bronze|suck the my
Silver|team garbage ez my bot bro are
Gold|afk the team uninstall game
Gold|my garbage are
Gold|mid the noob play
Silver|gg mb my are
Gold|game mid stop report you
Gold|trash afk report the team
Platinum|play team mb you glhf gg bro
Gold|you team my garbo noob ez
Silver|mb wp stop mid team
Bronze|thrower you the garbage useless are play
Silver|my game glhf are gg good bro
Silver|mid useless quit are
Gold|stop good play mid
Silver|uninstall afk ez play my the
Bronze|the noob game
Platinum|bro useless bot team mid play
Platinum|are glhf play you gg the
Silver|uninstall afk are play bot game
Platinum|the glhf game are play
Gold|the clutch my
Gold|team clutch the good
Gold|gg stop wp the
Gold|suck stop bro garbo the
Diamond|bro my report suck you
Gold|bro diff stop report
Gold|my mid useless bro
Gold|glhf clean stop game you good
Gold|clutch gg are my the
Platinum|stop useless bro team
Bronze|play stop report my
Gold|team quit report mid
Diamond|team afk you uninstall my
Gold|clutch save mid the team stop clean
Gold|team quit play uninstall bro garbage
Silver|clutch game the
Silver|you stop are wp clean
Grandmaster|wp game the save stop bro glhf
Platinum|wp the mid bro mb game
Grandmaster|play bot the thrower team game useless
Gold|are gg team mb
Bronze|team you good clean mb are
Gold|team are useless play uninstall thrower
Diamond|thrower garbo my garbage stop mid
Silver|stop clutch glhf team my play save
Platinum|game quit mid garbo the
Diamond|quit my garbo team stop
Silver|bro mid my good
Gold|the mid team thrower are ez noob
Bronze|game afk stop bro mid bot
Platinum|mid the diff bot
Bronze|report stop play are ez uninstall
Bronze|are wp you gg
Platinum|nice play you save mb bro
Silver|mid you clutch my glhf good
Bronze|clean stop play
Bronze|noob my play you bro thrower
Gold|team the mid bro quit
Bronze|mid stop gg my clutch wp
Gold|are mb glhf wp you
Grandmaster|uninstall garbo stop the mid ez bro
Diamond|are you team game bot
Silver|are game ez stop afk useless
Platinum|good you are the clean team
Diamond|team game stop diff
Gold|my team mid clutch
Platinum|are trash mid game
Gold|report are garbage stop
Bronze|gg glhf stop game are
Bronze|you team trash suck diff
Grandmaster|my useless bot bro stop you garbo
Silver|are my afk bro thrower team
Diamond|play trash quit garbo my
Silver|you gg game the play
Grandmaster|mid clean you glhf save
Gold|mid play uninstall bro
Bronze|my are garbage uninstall useless game
Gold|save my team clean mb mid game
Silver|the clean good bro gg
Bronze|team wp game
Gold|bro team stop quit
Diamond|you team thrower report game
Silver|play noob mid uninstall
Grandmaster|uninstall play stop you
Bronze|bro save are wp clean
Silver|you bot useless game team are
Silver|noob the my quit mid stop
Silver|game mid the clean you
Gold|quit my mid thrower afk
Silver|stop my game bro gg
Bronze|bro quit team bot stop uninstall
Gold|my afk bot mid
Gold|you play suck my team
Gold|are diff ez game suck mid
Silver|trash team play bot game the report
Diamond|team the useless
Celestial|useless thrower team game mid my trash
Gold|good you bro my stop nice mb
Bronze|thrower are game the play quit
Gold|game report garbo bro you suck
Platinum|play you are save gg
Silver|team you uninstall
Diamond|my game suck stop noob
Platinum|you my clean
Bronze|nice good the clean play stop
Platinum|wp save play stop
Silver|thrower stop my garbo mid the
Silver|nice play mb clean mid
Grandmaster|game my report stop bro
Silver|are the you garbo game bot
Silver|report bro mid you ez team bot
Diamond|team trash mid game bro
Platinum|stop gg my the are
Silver|gg game you the team
Gold|clean mid save team
Silver|useless bot bro team report
Bronze|team bro play nice
Diamond|bro uninstall are noob play report
Gold|bro the play gg
Silver|you my team noob uninstall
Silver|gg the game wp you
Silver|noob team you are
Silver|team are my you save
Gold|you game wp nice clean
Silver|game play the nice
Bronze|mb stop the my gg clean
Silver|bro save mb you team clean
Diamond|my you bro uninstall
Diamond|garbage bro mid
Gold|garbo my the team useless stop
Platinum|clutch stop gg the game are
Platinum|nice my mb mid
Diamond|bot you game afk
Gold|you noob play stop the
Gold|glhf play team are wp mb
Gold|bot uninstall trash the bro team
Gold|play report game bro you
Silver|play suck the
Platinum|bro my clutch
Silver|the clean stop good game team
Gold|game you play suck
Platinum|are garbo the play
Gold|bro are play diff team thrower
Bronze|bro afk stop
Silver|stop my ez
Bronze|game bot are ez bro
Gold|glhf mb nice the stop
Silver|are trash game my noob garbo
Platinum|are game my afk bot stop
Diamond|bro ez diff are
Gold|quit trash are team
Platinum|stop thrower mid
Diamond|ez you garbo game suck
Gold|useless game bro bot mid stop
Bronze|useless mid you bro
Gold|mb are you gg the
Gold|garbo play report mid are
Gold|are play clutch stop mb bro
Gold|game report garbo play my mid
Gold|bro my wp team
Gold|noob bro afk diff mid
Silver|garbage the team trash my are
Diamond|you quit mid bro
Bronze|save wp you clutch bro
Diamond|the clutch mid team are
Gold|mb play you are
Platinum|my noob you bro suck bot
Grandmaster|nice are play good
Silver|game you suck noob bot
Diamond|are good my save stop mid
Gold|gg nice mb my are game
Bronze|game you thrower
Silver|are stop mid diff garbo
Gold|game stop thrower
Gold|suck play diff useless team stop
Gold|you garbo bro
Grandmaster|stop ez afk game mid are
Gold|team bro are wp
Gold|team are the nice game gg glhf
Platinum|bro the wp play
Silver|the game bro wp mid
Gold|uninstall the useless team
Bronze|noob garbage stop ez game team
Diamond|play game the stop garbage noob ez
Platinum|quit diff uninstall you mid
Gold|mid gg play wp save stop
Bronze|bro are garbage
Bronze|game uninstall thrower team useless are
Bronze|mb bro team are play
Gold|garbage stop are afk the you uninstall
Silver|are mid my glhf
Gold|ez team bro stop play
Platinum|are afk suck game
Bronze|team afk bro
Gold|garbo team uninstall report are
Gold|team trash bot my
Platinum|stop gg team save my bro
Bronze|the bro stop team clutch
Silver|you mid my team nice wp good
Bronze|uninstall my afk team
Bronze|garbo my trash mid
Diamond|garbo are quit my
Silver|my you bro garbage play garbo
Gold|glhf mid bro good
Bronze|my clean team gg save
Bronze|suck stop you
Silver|useless mid my garbo stop bro
Silver|you garbage noob quit my play the
Gold|you trash are my quit
Bronze|wp mid bro
Bronze|save play you my are
Gold|quit team useless mid are game
Gold|bot team my
Silver|team bro stop save
Gold|mid game afk the uninstall
Silver|diff are stop garbo
Gold|wp game mid nice clean are
Silver|afk play are report ez
Silver|diff play stop
Diamond|team bro you the glhf
Silver|useless the bro are diff trash game
Diamond|game suck garbo you
Silver|game play ez useless are report you
Diamond|useless are play team trash stop thrower
Celestial|play save clutch bro are clean
Bronze|stop bro garbage team suck bot
Bronze|garbage noob play report mid
Bronze|mid save nice game stop
Bronze|diff play team
Bronze|game diff bro
Gold|bro quit play
Silver|afk the thrower play my team diff
Bronze|thrower garbage garbo team play
Gold|clutch mid bro my
Gold|are bot useless team garbo
Silver|are bro my thrower game
Grandmaster|play mid wp mb the team
Platinum|glhf game bro clutch the nice
Silver|garbo thrower you game
Bronze|mid bro team bot useless my
Silver|mb my you nice
Celestial|the mid clutch glhf save bro
Diamond|game quit the garbage
Gold|play clean team
Gold|you gg stop
Diamond|afk game are play team uninstall
Gold|mid the gg bro you nice
Diamond|afk quit my mid
Bronze|are mb you my
Silver|clean are play good
Platinum|team are ez
Silver|play ez the trash stop mid noob
Gold|gg stop team
Silver|glhf my the clean good game
Silver|mid wp nice play bro you
Diamond|garbage afk team the you useless mid
Silver|report stop suck are trash you play
Gold|are wp nice play
Silver|game clean the my
Gold|play suck are noob
Gold|save mb stop gg my
Gold|team you garbo my
Silver|quit stop my thrower mid team
Silver|are diff the bro
Silver|the stop mid team gg wp
Gold|are good save the bro
Gold|afk are my mid ez team
Platinum|nice game save team glhf stop bro
Bronze|noob the play suck bro are
Platinum|are game save clutch the you
Gold|my afk report bro team noob game
Bronze|diff team bro stop mid quit thrower
Silver|bro stop useless my the
Gold|ez bro you mid report
Diamond|team bro thrower diff stop
Platinum|you my afk the report game
Silver|you team are ez garbage my suck
Diamond|nice clutch the stop game wp
Gold|my diff stop quit
Silver|my stop afk are the ez
Silver|stop team the ez garbage game
Bronze|you stop trash mid my
Platinum|bot are garbo mid game play
Gold|you diff play
Silver|play the thrower team
Gold|team nice my stop
Platinum|you wp clean glhf the play team
Silver|thrower noob are report game you
Gold|quit stop diff the trash mid
Diamond|afk the game trash thrower
Gold|game gg clutch team
Silver|stop my play afk
Gold|noob are mid my play
Platinum|you game save mb clean bro the
Grandmaster|bro quit report team bot are game
Gold|are play good glhf the wp
Silver|ez you team diff mid stop bot
Gold|team clean game mid
Silver|bro thrower game diff play
Silver|the clutch team game
Platinum|the ez garbo my are useless
Platinum|are the trash afk uninstall
Gold|mid garbo useless you my play
Bronze|garbo mid ez you
Bronze|save play are mb the
Platinum|you bro clutch gg good the
Silver|trash are my afk
Silver|stop play clutch team save wp
Grandmaster|play you afk bot
